nm_uf,nm_micro,lng,lat
SAO PAULO,MOJI DAS CRUZES,-46.20498102661074,-23.51525128951433
SAO PAULO,MOJI-MIRIM,-47.00385464796459,-22.453517842307004
ESPÍRITO SANTO,MONTANHA,-40.359722926380684,-18.185016666241662
RIO GRANDE DO SUL,MONTENEGRO,-51.42513572733036,-29.50721766554912
MINAS GERAIS,MONTES CLAROS,-44.09898772776104,-16.254584113410104
RIO GRANDE DO NORTE,MOSSORO,-37.235123327838366,-5.1215832219422355
MINAS GERAIS,MURIAE,-42.25463357827237,-20.874342875970754
MATO GROSSO,MEDIO ARAGUAIA,-52.05875951212439,-14.919614586700861
PERNAMBUCO,MEDIO CAPIBARIBE,-35.552410482345344,-7.857045867543718
CEARÁ,MEDIO CURU,-39.375669486173905,-3.8692465959269637
CEARÁ,MEDIO JAGUARIBE,-38.65136026834435,-5.810508311328999
MARANHÃO,MEDIO MEARIM,-44.864311677085254,-4.438264943735325
RIO GRANDE DO NORTE,MEDIO OESTE,-37.328453375458125,-5.705089837114961
PIAUÍ,MEDIO PARNAIBA PIAUIENSE,-42.69282768214376,-6.067810329328873
MINAS GERAIS,NANUQUE,-40.678770083921684,-17.370858542848392
RIO GRANDE DO NORTE,NATAL,-35.26688320588548,-5.692452127652593
SAO PAULO,NHANDEARA,-49.84912412849128,-20.785682091563128
RORAIMA,NORDESTE DE RORAIMA,-60.255340158144286,3.8031538047597855
MATO GROSSO,NORTE ARAGUAIA,-51.794244553260256,-11.25682518298464
SERGIPE,NOSSA SENHORA DAS DORES,-37.11539062809512,-10.36357382895956
MATO GROSSO DO SUL,NOVA ANDRADINA,-52.76378825593667,-22.014916097959528
RIO DE JANEIRO,NOVA FRIBURGO,-42.50804424599633,-22.19947587246216
ESPÍRITO SANTO,NOVA VENECIA,-40.51031795022855,-18.72832430622283
SAO PAULO,NOVO HORIZONTE,-49.353861490519215,-21.405758112681305
RIO GRANDE DO SUL,NAO-ME-TOQUE,-52.84960434026838,-28.56462841796899
AMAPA,OIAPOQUE,-51.60947503514863,3.3267471557444357
MINAS GERAIS,OLIVEIRA,-44.80109182212272,-20.838151903418535
SAO PAULO,OSASCO,-46.877165683321195,-23.486765724961185
RIO GRANDE DO SUL,OSORIO,-50.297152158360625,-30.013810180754117
SAO PAULO,OURINHOS,-49.55024191761816,-23.037260331696636
MINAS GERAIS,OURO PRETO,-43.56033612818836,-20.334366848016906
CEARÁ,PACAJUS,-38.49598082599135,-4.146016158190348
PERNAMBUCO,PAJEU,-37.692893193112816,-7.71614111774826
PARANÁ,PALMAS,-52.15677035417155,-26.23984650517412
ALAGOAS,PALMEIRA DOS INDIOS,-36.60536292371671,-9.456974875970811
MINAS GERAIS,PARACATU,-46.321229017216226,-17.86224034460889
PARÁ,PARAGOMINAS,-47.899386134162306,-3.862990186991226
SAO PAULO,PARAIBUNA/PARAITINGA,-45.28882024114798,-23.223683993586942
PARANÁ,PARANAGUA,-48.542494177218366,-25.468556652486896
MATO GROSSO,PARANATINGA,-54.07905964590574,-13.505721912687344
PARANÁ,PARANAVAI,-52.72829067531441,-22.962358590012734
MATO GROSSO DO SUL,PARANAIBA,-51.49720468614137,-19.696547707707193
PARÁ,PARAUAPEBAS,-49.85684053087812,-6.235845266223115
MATO GROSSO,PARECIS,-59.14929072456123,-13.483207019388374
AMAZONAS,PARINTINS,-57.20495602790348,-3.228243616860047
MINAS GERAIS,PARA DE MINAS,-44.685263632457165,-19.750153620682802
RIO GRANDE DO SUL,PASSO FUNDO,-52.20166204932892,-28.239667385379764
MINAS GERAIS,PASSOS,-46.72036335631509,-20.571369500598315
PARANÁ,PATO BRANCO,-52.71637346555281,-25.999409712154986
PARAÍBA,PATOS,-37.244981188770076,-7.085164894520482
MINAS GERAIS,PATOS DE MINAS,-46.20908035778371,-18.94887110024408
MINAS GERAIS,PATROCINIO,-47.186815931992875,-18.793149588200976
RIO GRANDE DO NORTE,PAU DOS FERROS,-38.101111213705686,-6.114341561258006
BAHIA,PAULO AFONSO,-38.660627285179096,-9.17403346926324
MINAS GERAIS,PEDRA AZUL,-41.498760146345674,-16.151341658372548
RIO GRANDE DO SUL,PELOTAS,-52.37933810870843,-31.451374116718423
ALAGOAS,PENEDO,-36.589639192149484,-10.203058711567294
PERNAMBUCO,PETROLINA,-40.09127190488962,-8.837649851357112
MINAS GERAIS,PECANHA,-42.48273557437438,-18.2025228347896
PARAÍBA,PIANCO,-37.91082067025354,-7.243202400355346
PIAUÍ,PICOS,-41.63192857650808,-6.954526146164337
SAO PAULO,PIEDADE,-47.63994688093342,-23.78340442146321
MARANHÃO,PINDARE,-45.804197972034274,-3.9347846725329627
PIAUÍ,PIO IX,-40.895311902133756,-6.9864051940235345
